"IMC_classif","obesid","excpeso","Capital","faixa_idade","rend_per_capita","Sit_Urbano_Rural","Sexo","gescol","Freq"
"Eutrofia","Não","Não","Recife","25 a 39 anos","Mais de 3 SM","Urbano","Homem","Sem instrução",11696.1808120553
"Abaixo do peso","Não","Não","Rio Branco","18 a 24 anos","Até 1/2 SM","Rural","Homem","Sem instrução",2408.59155503951
"Abaixo do peso","Não","Não","Porto Velho","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",2778.1672469966
"Eutrofia","Não","Sim","Brasília","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",4308.56065418494
"Abaixo do peso","Não","Não","Boa Vista","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",138.539259312263
"Sobrepeso","Sim","Sim","Palmas","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",693.725426774008
"Abaixo do peso","Não","Não","Teresina","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",2651.9821355013
"Sobrepeso","Sim","Sim","Boa Vista","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",147.058161099592
"Abaixo do peso","Não","Não","Boa Vista","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",265.313930933132
"Eutrofia","Não","Sim","Palmas","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",400.670951252441
"Abaixo do peso","Não","Não","Palmas","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",1660.67565323507
"Eutrofia","Não","Sim","Cuiabá","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",668.96413104597
"Sobrepeso","Sim","Sim","Manaus","60 anos ou mais","2 até 3 SM","Rural","Homem","Sem instrução",560.659339630033
"Sobrepeso","Sim","Sim","Manaus","25 a 39 anos","Até 1/2 SM","Urbano","Mulher","Sem instrução",10658.9560426785
"Obesidade grau III","Sim","Sim","Belém","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Sem instrução",140746.453003382
"Sobrepeso","Sim","Sim","Salvador","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Sem instrução",31009.8231179934
"Abaixo do peso","Não","Não","Maceió","60 anos ou mais","Até 1/2 SM","Urbano","Mulher","Sem instrução",6575.1195205715
"Sobrepeso","Sim","Sim","Natal","40 a 59 anos","1/2 até 1 SM","Urbano","Mulher","Sem instrução",36353.3723811092
"Sobrepeso","Sim","Sim","Aracaju","40 a 59 anos","1/2 até 1 SM","Urbano","Mulher","Sem instrução",10349.3864539751
"Abaixo do peso","Não","Não","Belém","60 anos ou mais","1/2 até 1 SM","Urbano","Mulher","Sem instrução",99742.0413948911
"Abaixo do peso","Não","Não","João Pessoa","60 anos ou mais","1/2 até 1 SM","Urbano","Mulher","Sem instrução",10896.9044186158
"Obesidade grau I","Sim","Sim","Aracaju","60 anos ou mais","1/2 até 1 SM","Urbano","Mulher","Sem instrução",81142.6644589454
"Sobrepeso","Sim","Sim","Salvador","60 anos ou mais","1/2 até 1 SM","Urbano","Mulher","Sem instrução",18148.9791612738
"Abaixo do peso","Não","Não","Rio de Janeiro","60 anos ou mais","1/2 até 1 SM","Urbano","Mulher","Sem instrução",19879.4455113592
"Eutrofia","Não","Sim","Belém","25 a 39 anos","1 até 2 SM","Urbano","Mulher","Sem instrução",23784.1842843404
"Abaixo do peso","Não","Não","Manaus","40 a 59 anos","1 até 2 SM","Urbano","Mulher","Sem instrução",42717.8321403029
"Eutrofia","Não","Sim","Belo Horizonte","40 a 59 anos","1 até 2 SM","Urbano","Mulher","Sem instrução",27016.7922066265
"Abaixo do peso","Não","Não","Rio de Janeiro","40 a 59 anos","1 até 2 SM","Urbano","Mulher","Sem instrução",24400.9270462514
"Eutrofia","Não","Sim","Goiânia","40 a 59 anos","1 até 2 SM","Urbano","Mulher","Sem instrução",9517.07694486335
"Abaixo do peso","Não","Não","Brasília","40 a 59 anos","1 até 2 SM","Urbano","Mulher","Sem instrução",17130.385711907
"Abaixo do peso","Não","Não","Natal","60 anos ou mais","1 até 2 SM","Urbano","Mulher","Sem instrução",17159.147232129
"Sobrepeso","Sim","Sim","Maceió","60 anos ou mais","1 até 2 SM","Urbano","Mulher","Sem instrução",3655.33795097697
"Sobrepeso","Sim","Sim","Rio Branco","60 anos ou mais","2 até 3 SM","Urbano","Mulher","Sem instrução",7639.81183615799
"Eutrofia","Não","Sim","Belo Horizonte","60 anos ou mais","2 até 3 SM","Urbano","Mulher","Sem instrução",9529.14928842288
"Eutrofia","Não","Sim","Vitória","60 anos ou mais","2 até 3 SM","Urbano","Mulher","Sem instrução",7153.30736881327
"Sobrepeso","Não","Sim","São Luís","60 anos ou mais","Mais de 3 SM","Urbano","Mulher","Sem instrução",16950.3152673232
"Sobrepeso","Sim","Sim","Rio de Janeiro","60 anos ou mais","Mais de 3 SM","Urbano","Mulher","Sem instrução",4105.43432940237
"Sobrepeso","Sim","Sim","Porto Velho","25 a 39 anos","Até 1/2 SM","Rural","Mulher","Sem instrução",295.094945013034
"Eutrofia","Não","Sim","Macapá","40 a 59 anos","Até 1/2 SM","Rural","Mulher","Sem instrução",1198.89410327113
"Eutrofia","Não","Sim","Manaus","60 anos ou mais","Até 1/2 SM","Rural","Mulher","Sem instrução",1068.83686742443
"Sobrepeso","Sim","Sim","Rio Branco","40 a 59 anos","1/2 até 1 SM","Rural","Mulher","Sem instrução",2159.53208028863
"Eutrofia","Não","Sim","Boa Vista","40 a 59 anos","1/2 até 1 SM","Rural","Mulher","Sem instrução",795.674215798645
"Eutrofia","Não","Sim","São Luís","40 a 59 anos","1/2 até 1 SM","Rural","Mulher","Sem instrução",3457.60197391174
"Obesidade grau I","Sim","Sim","Teresina","40 a 59 anos","1/2 até 1 SM","Rural","Mulher","Sem instrução",3409.08188358344
"Sobrepeso","Sim","Sim","Rio Branco","40 a 59 anos","1 até 2 SM","Rural","Mulher","Sem instrução",1772.14335876072
"Eutrofia","Não","Sim","Brasília","40 a 59 anos","1 até 2 SM","Rural","Mulher","Sem instrução",13287.1715098444
"Abaixo do peso","Não","Não","Porto Velho","60 anos ou mais","1 até 2 SM","Rural","Mulher","Sem instrução",319.572539454714
"Abaixo do peso","Não","Não","Campo Grande","60 anos ou mais","1 até 2 SM","Rural","Mulher","Sem instrução",453.69125909939
"Abaixo do peso","Não","Não","Rio Branco","40 a 59 anos","Mais de 3 SM","Rural","Mulher","Sem instrução",886.071679380358
"Abaixo do peso","Não","Não","Macapá","18 a 24 anos","Até 1/2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",32158.6882014447
"Obesidade grau I","Sim","Sim","Fortaleza","25 a 39 anos","Até 1/2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",13039.6670395676
"Abaixo do peso","Não","Não","Fortaleza","25 a 39 anos","Até 1/2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",16647.7953736283
"Sobrepeso","Sim","Sim","Maceió","25 a 39 anos","Até 1/2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",5101.5140206543
"Eutrofia","Não","Sim","Belo Horizonte","25 a 39 anos","Até 1/2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",44800.7913840736
"Abaixo do peso","Não","Não","Porto Alegre","25 a 39 anos","Até 1/2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",3912.76399362189
"Abaixo do peso","Não","Não","Recife","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",17032.5512296598
"Eutrofia","Não","Sim","Maceió","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",21884.547153694
"Abaixo do peso","Não","Não","Curitiba","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",5015.82747535653
"Sobrepeso","Sim","Sim","Cuiabá","40 a 59 anos","Até 1/2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",16584.5767610531
"Abaixo do peso","Não","Não","Salvador","60 anos ou mais","Até 1/2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",34758.4835171021
"Eutrofia","Não","Sim","Brasília","60 anos ou mais","Até 1/2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",28053.9408130989
"Eutrofia","Não","Sim","Cuiabá","18 a 24 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",11840.6847583253
"Eutrofia","Não","Sim","Boa Vista","25 a 39 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",8549.49867139347
"Eutrofia","Não","Sim","Macapá","25 a 39 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",9615.071310409
"Abaixo do peso","Não","Não","Natal","25 a 39 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",39711.0702633367
"Eutrofia","Não","Sim","João Pessoa","25 a 39 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",68083.4898875632
"Abaixo do peso","Não","Não","Salvador","25 a 39 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",45602.1170829748
"Abaixo do peso","Não","Não","São Paulo","25 a 39 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",23703.4421277293
"Abaixo do peso","Não","Não","Porto Alegre","25 a 39 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",7825.52798724378
"Abaixo do peso","Não","Não","Porto Velho","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",62730.3051916864
"Eutrofia","Não","Sim","Manaus","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",27564.0183719024
"Abaixo do peso","Não","Não","Teresina","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",9016.0348600787
"Eutrofia","Não","Sim","Fortaleza","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",6602.84582334229
"Eutrofia","Não","Sim","Aracaju","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",55968.658012977
"Sobrepeso","Sim","Sim","Salvador","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",39124.9216436777
"Obesidade grau I","Sim","Sim","Belo Horizonte","40 a 59 anos","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",64062.3566257973
"Eutrofia","Não","Sim","Manaus","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",9082.04819534022
"Eutrofia","Não","Sim","Rio de Janeiro","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",49059.5524605642
"Sobrepeso","Sim","Sim","Campo Grande","60 anos ou mais","1/2 até 1 SM","Urbano","Homem","Fundamental incompleto ou equivalente",8749.64696585615
"Abaixo do peso","Não","Não","São Paulo","18 a 24 anos","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",133852.79892416
"Eutrofia","Não","Sim","Manaus","25 a 39 anos","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",11055.4284165514
"Sobrepeso","Sim","Sim","Fortaleza","25 a 39 anos","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",8323.8976868081
"Eutrofia","Não","Sim","Rio de Janeiro","25 a 39 anos","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",33940.937449055
"Abaixo do peso","Não","Não","Campo Grande","25 a 39 anos","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",22502.8486123362
"Sobrepeso","Sim","Sim","Teresina","40 a 59 anos","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",7405.68645145151
"Obesidade grau I","Sim","Sim","Teresina","40 a 59 anos","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",7405.68645145151
"Eutrofia","Não","Sim","Natal","40 a 59 anos","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",8459.96660222705
"Eutrofia","Não","Sim","Salvador","40 a 59 anos","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",14963.595052205
"Sobrepeso","Sim","Sim","Belo Horizonte","40 a 59 anos","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",40403.4843374836
"Sobrepeso","Não","Sim","Belo Horizonte","40 a 59 anos","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",9826.44060721537
"Sobrepeso","Sim","Sim","Rio de Janeiro","40 a 59 anos","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",87360.1887248472
"Abaixo do peso","Não","Não","São Paulo","40 a 59 anos","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",10367.8706725308
"Sobrepeso","Sim","Sim","Campo Grande","40 a 59 anos","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",21591.9556837066
"Eutrofia","Não","Sim","Rio Branco","60 anos ou mais","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",6084.75236380448
"Abaixo do peso","Não","Não","Rio Branco","60 anos ou mais","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",3042.37618190224
"Abaixo do peso","Não","Não","Manaus","60 anos ou mais","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",22690.452005505
"Abaixo do peso","Não","Não","Macapá","60 anos ou mais","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",2042.02060602496
"Abaixo do peso","Não","Não","Teresina","60 anos ou mais","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",7503.57544350537
"Abaixo do peso","Não","Não","Rio de Janeiro","60 anos ou mais","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",23263.6358556665
"Obesidade grau III","Sim","Sim","São Paulo","60 anos ou mais","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",338143.439449699
"Abaixo do peso","Não","Não","Cuiabá","60 anos ou mais","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",31788.6703146713
"Abaixo do peso","Não","Não","Brasília","60 anos ou mais","1 até 2 SM","Urbano","Homem","Fundamental incompleto ou equivalente",18350.2358353264
"Eutrofia","Não","Sim","São Luís","25 a 39 anos","2 até 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",16685.9112425735
"Eutrofia","Não","Sim","Fortaleza","40 a 59 anos","2 até 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",5593.77484880767
"Obesidade grau III","Sim","Sim","Rio de Janeiro","40 a 59 anos","2 até 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",6747.001437878
"Eutrofia","Não","Sim","Campo Grande","40 a 59 anos","2 até 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",15568.9017792694
"Eutrofia","Não","Sim","São Luís","60 anos ou mais","2 até 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",5489.35424717868
"Abaixo do peso","Não","Não","Salvador","60 anos ou mais","2 até 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",4111.34681478587
"Eutrofia","Não","Sim","Goiânia","60 anos ou mais","2 até 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",130558.232192441
"Abaixo do peso","Não","Não","Brasília","60 anos ou mais","2 até 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",66877.3374040865
"Abaixo do peso","Não","Não","Porto Velho","18 a 24 anos","Mais de 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",14809.7623424115
"Abaixo do peso","Não","Não","Rio de Janeiro","25 a 39 anos","Mais de 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",68792.9723526076
"Sobrepeso","Sim","Sim","Palmas","40 a 59 anos","Mais de 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",3910.08876909176
"Eutrofia","Não","Sim","São Paulo","40 a 59 anos","Mais de 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",10367.8706725308
"Abaixo do peso","Não","Não","Goiânia","40 a 59 anos","Mais de 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",96625.8693612139
"Abaixo do peso","Não","Não","Boa Vista","60 anos ou mais","Mais de 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",15222.270780277
"Eutrofia","Não","Sim","Palmas","60 anos ou mais","Mais de 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",3675.05410463454
"Abaixo do peso","Não","Não","Salvador","60 anos ou mais","Mais de 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",34758.4835171021
"Eutrofia","Não","Sim","Rio de Janeiro","60 anos ou mais","Mais de 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",70286.0772825151
"Sobrepeso","Sim","Sim","Porto Alegre","60 anos ou mais","Mais de 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",2202.23813078867
"Eutrofia","Não","Sim","Cuiabá","60 anos ou mais","Mais de 3 SM","Urbano","Homem","Fundamental incompleto ou equivalente",19590.7807141816
"Abaixo do peso","Não","Não","São Luís","40 a 59 anos","Até 1/2 SM","Rural","Homem","Fundamental incompleto ou equivalente",3336.88815911477
"Abaixo do peso","Não","Não","Teresina","40 a 59 anos","Até 1/2 SM","Rural","Homem","Fundamental incompleto ou equivalente",1645.03101523112
"Abaixo do peso","Não","Não","Palmas","60 anos ou mais","Até 1/2 SM","Rural","Homem","Fundamental incompleto ou equivalente",200.335475631208
"Abaixo do peso","Não","Não","São Paulo","60 anos ou mais","Até 1/2 SM","Rural","Homem","Fundamental incompleto ou equivalente",1174.74379941053
"Eutrofia","Não","Sim","Rio Branco","18 a 24 anos","1/2 até 1 SM","Rural","Homem","Fundamental incompleto ou equivalente",2408.59155503951
"Eutrofia","Não","Sim","Teresina","25 a 39 anos","1/2 até 1 SM","Rural","Homem","Fundamental incompleto ou equivalente",1917.36861852135
"Abaixo do peso","Não","Não","Teresina","25 a 39 anos","1/2 até 1 SM","Rural","Homem","Fundamental incompleto ou equivalente",9273.06648277698
"Eutrofia","Não","Sim","Brasília","25 a 39 anos","1/2 até 1 SM","Rural","Homem","Fundamental incompleto ou equivalente",14946.1975697847
"Abaixo do peso","Não","Não","Brasília","25 a 39 anos","1/2 até 1 SM","Rural","Homem","Fundamental incompleto ou equivalente",1571.31946945159
"Abaixo do peso","Não","Não","Boa Vista","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Fundamental incompleto ou equivalente",138.539259312263
"Abaixo do peso","Não","Não","São Paulo","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Fundamental incompleto ou equivalente",696.800714663705
"Abaixo do peso","Não","Não","Florianópolis","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Fundamental incompleto ou equivalente",1438.29726674147
"Eutrofia","Não","Sim","Manaus","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Fundamental incompleto ou equivalente",1657.07451834618
"Sobrepeso","Sim","Sim","Cuiabá","18 a 24 anos","1 até 2 SM","Rural","Homem","Fundamental incompleto ou equivalente",655.921747224535
"Eutrofia","Não","Sim","São Paulo","25 a 39 anos","1 até 2 SM","Rural","Homem","Fundamental incompleto ou equivalente",5057.6946808322
"Eutrofia","Não","Sim","Cuiabá","25 a 39 anos","1 até 2 SM","Rural","Homem","Fundamental incompleto ou equivalente",814.286358864252
"Eutrofia","Não","Sim","Brasília","25 a 39 anos","1 até 2 SM","Rural","Homem","Fundamental incompleto ou equivalente",5021.84999118048
"Abaixo do peso","Não","Não","Brasília","25 a 39 anos","1 até 2 SM","Rural","Homem","Fundamental incompleto ou equivalente",1571.31946945159
"Abaixo do peso","Não","Não","Porto Velho","40 a 59 anos","1 até 2 SM","Rural","Homem","Fundamental incompleto ou equivalente",3040.76508807827
"Abaixo do peso","Não","Não","São Paulo","40 a 59 anos","1 até 2 SM","Rural","Homem","Fundamental incompleto ou equivalente",648.519817812974
"Eutrofia","Não","Sim","Campo Grande","40 a 59 anos","1 até 2 SM","Rural","Homem","Fundamental incompleto ou equivalente",794.952536074263
"Sobrepeso","Sim","Sim","Rio Branco","60 anos ou mais","1 até 2 SM","Rural","Homem","Fundamental incompleto ou equivalente",1637.65608065246
"Eutrofia","Não","Sim","Boa Vista","60 anos ou mais","1 até 2 SM","Rural","Homem","Fundamental incompleto ou equivalente",132.656965466566
"Abaixo do peso","Não","Não","Palmas","60 anos ou mais","1 até 2 SM","Rural","Homem","Fundamental incompleto ou equivalente",400.670951252441
"Eutrofia","Não","Sim","São Paulo","60 anos ou mais","1 até 2 SM","Rural","Homem","Fundamental incompleto ou equivalente",5947.73116942168
"Obesidade grau I","Sim","Sim","Campo Grande","60 anos ou mais","1 até 2 SM","Rural","Homem","Fundamental incompleto ou equivalente",507.466218840581
"Abaixo do peso","Não","Não","Campo Grande","18 a 24 anos","2 até 3 SM","Rural","Homem","Fundamental incompleto ou equivalente",787.537101860494
"Eutrofia","Não","Sim","São Paulo","25 a 39 anos","2 até 3 SM","Rural","Homem","Fundamental incompleto ou equivalente",3010.77448886533
"Abaixo do peso","Não","Não","São Paulo","40 a 59 anos","2 até 3 SM","Rural","Homem","Fundamental incompleto ou equivalente",6393.09968500579
"Eutrofia","Não","Sim","Cuiabá","40 a 59 anos","2 até 3 SM","Rural","Homem","Fundamental incompleto ou equivalente",232.875810919853
"Abaixo do peso","Não","Não","Brasília","40 a 59 anos","2 até 3 SM","Rural","Homem","Fundamental incompleto ou equivalente",2154.28032709247
"Abaixo do peso","Não","Não","Manaus","60 anos ou mais","2 até 3 SM","Rural","Homem","Fundamental incompleto ou equivalente",414.268629589039
"Sobrepeso","Sim","Sim","Brasília","40 a 59 anos","Mais de 3 SM","Rural","Homem","Fundamental incompleto ou equivalente",2022.20055949214
"Sobrepeso","Sim","Sim","Brasília","18 a 24 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",57758.9728086619
"Obesidade grau I","Sim","Sim","Manaus","25 a 39 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",21317.9120853571
"Eutrofia","Não","Sim","Macapá","25 a 39 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",8022.03832729885
"Sobrepeso","Não","Sim","Brasília","25 a 39 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",57711.4308650772
"Sobrepeso","Sim","Sim","Manaus","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",24950.1918554888
"Eutrofia","Não","Sim","Manaus","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",4914.13862287255
"Eutrofia","Não","Sim","Teresina","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",4671.09750801045
"Abaixo do peso","Não","Não","Teresina","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",11381.0161725836
"Abaixo do peso","Não","Não","Fortaleza","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",39593.5750781408
"Abaixo do peso","Não","Não","Natal","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",17651.5732166933
"Sobrepeso","Sim","Sim","João Pessoa","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",30263.1155148715
"Sobrepeso","Sim","Sim","Maceió","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",11196.6651809666
"Eutrofia","Não","Sim","Maceió","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",76644.9163464629
"Eutrofia","Não","Não","Maceió","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",63870.7636220561
"Obesidade grau I","Sim","Sim","Aracaju","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",10349.3864539751
"Abaixo do peso","Não","Não","Salvador","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",37612.913024379
"Abaixo do peso","Não","Não","Vitória","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",14322.2157370398
"Sobrepeso","Sim","Sim","Rio de Janeiro","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",22925.1396336444
"Obesidade grau I","Sim","Sim","São Paulo","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",31608.5445265651
"Eutrofia","Não","Sim","Porto Alegre","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",6956.89535991417
"Eutrofia","Não","Sim","Goiânia","40 a 59 anos","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",3126.03094922904
"Eutrofia","Não","Sim","Porto Velho","60 anos ou mais","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",76340.6235493064
"Abaixo do peso","Não","Não","Macapá","60 anos ou mais","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",3346.40139644722
"Sobrepeso","Sim","Sim","São Paulo","60 anos ou mais","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",5497.14861518538
"Eutrofia","Não","Sim","Cuiabá","60 anos ou mais","Até 1/2 SM","Urbano","Mulher","Fundamental incompleto ou equivalente",5115.96389922699
