"IMC_classif","obesid","excpeso","Capital","faixa_idade","rend_per_capita","Sit_Urbano_Rural","Sexo","gescol","Freq"
"Eutrofia","Não","Sim","Aracaju","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1363.94703895495
"Abaixo do peso","Não","Não","Belo Horizonte","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",224.532267463496
"Abaixo do peso","Não","Não","Vitória","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",676.25436375877
"Abaixo do peso","Não","Não","São Paulo","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",6977.72757962775
"Eutrofia","Não","Sim","Porto Alegre","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",775.326484710266
"Sobrepeso","Sim","Sim","Cuiabá","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",677.29996173271
"Eutrofia","Não","Sim","Cuiabá","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",661.230157448101
"Abaixo do peso","Não","Não","Cuiabá","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",708.932102792495
"Eutrofia","Não","Sim","Goiânia","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1173.73007784239
"Eutrofia","Não","Sim","Brasília","45 a 54 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1043.5487391963
"Eutrofia","Não","Sim","Rio Branco","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",288.712611915829
"Abaixo do peso","Não","Não","Rio Branco","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",503.364779277262
"Abaixo do peso","Não","Não","Manaus","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",2404.80771893559
"Abaixo do peso","Não","Não","Boa Vista","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",391.827046170118
"Abaixo do peso","Não","Não","Belém","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1110.20841806597
"Obesidade grau III","Sim","Sim","Macapá","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",123.890171344089
"Abaixo do peso","Não","Não","Macapá","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",115.139434490359
"Sobrepeso","Sim","Sim","São Luís","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",632.837323923609
"Abaixo do peso","Não","Não","Teresina","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",716.312250069278
"Sobrepeso","Sim","Sim","Fortaleza","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",2559.31553000802
"Sobrepeso","Sim","Sim","Natal","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1729.47851147535
"Sobrepeso","Sim","Sim","João Pessoa","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",854.804174066933
"Eutrofia","Não","Sim","Maceió","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",302.008830680406
"Eutrofia","Não","Sim","Aracaju","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",733.228900908075
"Abaixo do peso","Não","Não","Belo Horizonte","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",2314.72777076643
"Eutrofia","Não","Sim","Rio de Janeiro","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1278.77877545828
"Eutrofia","Não","Sim","São Paulo","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",4222.67766874945
"Abaixo do peso","Não","Não","São Paulo","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",3121.16664576453
"Eutrofia","Não","Sim","Porto Alegre","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1465.43389459558
"Abaixo do peso","Não","Não","Porto Alegre","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",845.93173567122
"Sobrepeso","Sim","Sim","Campo Grande","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1089.3250169646
"Abaixo do peso","Não","Não","Campo Grande","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1044.60905982492
"Obesidade grau I","Sim","Sim","Cuiabá","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1759.71749266007
"Abaixo do peso","Não","Não","Cuiabá","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",2927.71401254228
"Sobrepeso","Sim","Sim","Goiânia","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",1064.77514313995
"Abaixo do peso","Não","Não","Brasília","55 a 64 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",3209.0357388551
"Abaixo do peso","Não","Não","Porto Velho","65 a 74 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",353.336752279429
"Sobrepeso","Sim","Sim","Rio Branco","65 a 74 anos","1/2 até 1 SM","Urbano","Masculino","Sem instrução",220.265657044446
