"IMC_classif","obesid","excpeso","Unidades_da_Federacao","faixa_idade","rend_per_capita","Sit_Urbano_Rural","Sexo","gescol","Freq"
"Abaixo do peso","Não","Não","Goiás","40 a 59 anos","1 até 2 SM","Urbano","Homem","Sem instrução",18274.8628696799
"Abaixo do peso","Não","Não","Acre","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",9258.12223433345
"Abaixo do peso","Não","Não","Maranhão","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",12169.5409080363
"Eutrofia","Não","Sim","Piauí","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",2245.60659323704
"Abaixo do peso","Não","Não","Piauí","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",14282.2422229356
"Eutrofia","Não","Sim","Ceará","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",7352.9324430638
"Abaixo do peso","Não","Não","Ceará","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",44805.0424456837
"Eutrofia","Não","Sim","Rio Grande do Norte","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",32624.0042245963
"Abaixo do peso","Não","Não","Rio Grande do Norte","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",15183.0171774646
"Abaixo do peso","Não","Não","Pernambuco","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",9801.64624124677
"Eutrofia","Não","Sim","Alagoas","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",11872.0448078718
"Sobrepeso","Sim","Sim","Bahia","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",8016.59871524633
"Eutrofia","Não","Sim","Bahia","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",64963.0383260808
"Abaixo do peso","Não","Não","Bahia","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",49571.7772484518
"Sobrepeso","Sim","Sim","Minas Gerais","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",33511.6438843565
"Abaixo do peso","Não","Não","Minas Gerais","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",67023.287768703
"Eutrofia","Não","Sim","Espírito Santo","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",8802.82959045734
"Sobrepeso","Sim","Sim","Rio de Janeiro","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",10188.1684688771
"Eutrofia","Não","Sim","Rio de Janeiro","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",11799.983709478
"Eutrofia","Não","Sim","São Paulo","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",15769.223157004
"Eutrofia","Não","Sim","Paraná","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",25097.4700944632
"Abaixo do peso","Não","Não","Rio Grande do Sul","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",62718.9391802285
"Sobrepeso","Sim","Sim","Mato Grosso do Sul","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",7453.92777447192
"Abaixo do peso","Não","Não","Mato Grosso do Sul","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",14941.0282465407
"Sobrepeso","Sim","Sim","Goiás","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",3405.77519404277
"Eutrofia","Não","Sim","Goiás","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",2331.35673025814
"Abaixo do peso","Não","Não","Goiás","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",1945.30184259936
"Abaixo do peso","Não","Não","Distrito Federal","60 anos ou mais","1 até 2 SM","Urbano","Homem","Sem instrução",23745.5509902806
"Abaixo do peso","Não","Não","Acre","60 anos ou mais","2 até 3 SM","Urbano","Homem","Sem instrução",4629.06111716174
"Abaixo do peso","Não","Não","Piauí","60 anos ou mais","2 até 3 SM","Urbano","Homem","Sem instrução",4683.6457715917
"Abaixo do peso","Não","Não","Bahia","60 anos ou mais","2 até 3 SM","Urbano","Homem","Sem instrução",11110.7641085935
"Eutrofia","Não","Sim","Espírito Santo","60 anos ou mais","2 até 3 SM","Urbano","Homem","Sem instrução",1577.39525998946
"Abaixo do peso","Não","Não","Espírito Santo","60 anos ou mais","2 até 3 SM","Urbano","Homem","Sem instrução",4401.41479522867
"Sobrepeso","Sim","Sim","São Paulo","60 anos ou mais","2 até 3 SM","Urbano","Homem","Sem instrução",34960.2632837952
"Abaixo do peso","Não","Não","Santa Catarina","60 anos ou mais","2 até 3 SM","Urbano","Homem","Sem instrução",5600.92850256406
"Eutrofia","Não","Sim","Goiás","60 anos ou mais","2 até 3 SM","Urbano","Homem","Sem instrução",5754.10010358986
"Eutrofia","Não","Não","Pernambuco","25 a 39 anos","Mais de 3 SM","Urbano","Homem","Sem instrução",11696.1808120553
"Eutrofia","Não","Sim","Paraná","25 a 39 anos","Mais de 3 SM","Urbano","Homem","Sem instrução",5846.0500101949
"Abaixo do peso","Não","Não","Pará","60 anos ou mais","Mais de 3 SM","Urbano","Homem","Sem instrução",3483.80198008502
"Eutrofia","Não","Sim","Rio Grande do Norte","60 anos ou mais","Mais de 3 SM","Urbano","Homem","Sem instrução",11613.4961099363
"Eutrofia","Não","Sim","Rio Grande do Sul","60 anos ou mais","Mais de 3 SM","Urbano","Homem","Sem instrução",17156.0246682343
"Abaixo do peso","Não","Não","Acre","18 a 24 anos","Até 1/2 SM","Rural","Homem","Sem instrução",2408.59155503951
"Abaixo do peso","Não","Não","Amazonas","25 a 39 anos","Até 1/2 SM","Rural","Homem","Sem instrução",1021.70326667428
"Sobrepeso","Sim","Sim","Maranhão","25 a 39 anos","Até 1/2 SM","Rural","Homem","Sem instrução",3659.79505583294
"Eutrofia","Não","Sim","Maranhão","25 a 39 anos","Até 1/2 SM","Rural","Homem","Sem instrução",12967.3716779034
"Abaixo do peso","Não","Não","Bahia","25 a 39 anos","Até 1/2 SM","Rural","Homem","Sem instrução",18329.0696874737
"Sobrepeso","Sim","Sim","Minas Gerais","25 a 39 anos","Até 1/2 SM","Rural","Homem","Sem instrução",15023.3803801123
"Eutrofia","Não","Sim","São Paulo","25 a 39 anos","Até 1/2 SM","Rural","Homem","Sem instrução",4530.65666624081
"Eutrofia","Não","Sim","Amazonas","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",6578.51294719145
"Eutrofia","Não","Sim","Roraima","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",4524.49064594498
"Abaixo do peso","Não","Não","Pará","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",9503.38793380125
"Sobrepeso","Sim","Sim","Tocantins","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",11807.586229773
"Eutrofia","Não","Sim","Tocantins","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",9232.20273770399
"Eutrofia","Não","Sim","Maranhão","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",4137.68676769208
"Abaixo do peso","Não","Não","Maranhão","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",12914.0774959742
"Sobrepeso","Sim","Sim","Piauí","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",6904.14140558456
"Abaixo do peso","Não","Não","Piauí","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",16054.4638334857
"Obesidade grau I","Sim","Sim","Ceará","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",6628.96374246103
"Eutrofia","Não","Sim","Ceará","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",31311.7176719028
"Abaixo do peso","Não","Não","Ceará","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",25670.429483608
"Abaixo do peso","Não","Não","Rio Grande do Norte","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",16845.2209757218
"Eutrofia","Não","Sim","Paraíba","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",5254.17223958571
"Eutrofia","Não","Sim","Pernambuco","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",9193.64861364367
"Abaixo do peso","Não","Não","Alagoas","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",8860.83250587318
"Eutrofia","Não","Sim","Sergipe","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",7109.82586652345
"Sobrepeso","Sim","Sim","Bahia","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",4904.39163993143
"Abaixo do peso","Não","Não","Bahia","40 a 59 anos","Até 1/2 SM","Rural","Homem","Sem instrução",47455.6984194158
"Sobrepeso","Sim","Sim","Rio Grande do Norte","60 anos ou mais","Até 1/2 SM","Rural","Homem","Sem instrução",43570.61886196
"Eutrofia","Não","Sim","Pernambuco","60 anos ou mais","Até 1/2 SM","Rural","Homem","Sem instrução",21234.499849861
"Abaixo do peso","Não","Não","Alagoas","60 anos ou mais","Até 1/2 SM","Rural","Homem","Sem instrução",14855.8753772933
"Abaixo do peso","Não","Não","Minas Gerais","60 anos ou mais","Até 1/2 SM","Rural","Homem","Sem instrução",9994.06599447821
"Abaixo do peso","Não","Não","Rio de Janeiro","60 anos ou mais","Até 1/2 SM","Rural","Homem","Sem instrução",1920.21720655655
"Abaixo do peso","Não","Não","Mato Grosso","60 anos ou mais","Até 1/2 SM","Rural","Homem","Sem instrução",3203.09906266494
"Abaixo do peso","Não","Não","Amapá","25 a 39 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",323.445558136175
"Abaixo do peso","Não","Não","Piauí","25 a 39 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",7872.30687047726
"Eutrofia","Não","Sim","Sergipe","25 a 39 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",8163.10024671006
"Eutrofia","Não","Sim","Paraná","25 a 39 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",80636.1555814089
"Abaixo do peso","Não","Não","Rondônia","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",2778.1672469966
"Abaixo do peso","Não","Não","Acre","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",5464.37046016891
"Eutrofia","Não","Sim","Pará","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",1430.66270672586
"Eutrofia","Não","Sim","Amapá","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",78.2383000605535
"Eutrofia","Não","Sim","Maranhão","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",10676.1883816907
"Abaixo do peso","Não","Não","Maranhão","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",7417.01530946142
"Eutrofia","Não","Não","Maranhão","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",2317.28398831331
"Eutrofia","Não","Sim","Piauí","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",1828.54320740255
"Abaixo do peso","Não","Não","Piauí","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",2287.05030805647
"Abaixo do peso","Não","Não","Ceará","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",9379.90989737394
"Eutrofia","Não","Sim","Paraíba","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",36317.1215307255
"Eutrofia","Não","Sim","Pernambuco","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",13049.8390863024
"Abaixo do peso","Não","Não","Sergipe","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",2369.94195550434
"Eutrofia","Não","Sim","Bahia","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",15725.6605876232
"Abaixo do peso","Não","Não","Bahia","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",43916.9490119566
"Eutrofia","Não","Sim","Espírito Santo","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",581.589975776602
"Sobrepeso","Sim","Sim","São Paulo","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",11571.0437807749
"Eutrofia","Não","Sim","Paraná","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",8385.25223183102
"Eutrofia","Não","Sim","Goiás","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",5261.1723100242
"Eutrofia","Não","Sim","Distrito Federal","40 a 59 anos","1/2 até 1 SM","Rural","Homem","Sem instrução",4308.56065418494
"Obesidade grau I","Sim","Sim","Amazonas","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Sem instrução",1806.82052036322
"Abaixo do peso","Não","Não","Amazonas","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Sem instrução",4199.46215578078
"Abaixo do peso","Não","Não","Pará","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Sem instrução",5764.27572300941
"Eutrofia","Não","Sim","Maranhão","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Sem instrução",32921.8416448441
"Abaixo do peso","Não","Não","Piauí","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Sem instrução",1887.99189222367
"Eutrofia","Não","Sim","Paraíba","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Sem instrução",3147.8420800363
"Eutrofia","Não","Sim","Pernambuco","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Sem instrução",36150.1285192955
"Abaixo do peso","Não","Não","Pernambuco","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Sem instrução",11742.0832053854
"Eutrofia","Não","Sim","Sergipe","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Sem instrução",8607.54289488288
"Obesidade grau I","Sim","Sim","Bahia","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Sem instrução",3317.41198450967
"Eutrofia","Não","Sim","Bahia","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Sem instrução",22516.7312232458
"Abaixo do peso","Não","Não","Minas Gerais","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Sem instrução",14218.7778972481
"Eutrofia","Não","Sim","Rio de Janeiro","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Sem instrução",2263.55632053608
"Abaixo do peso","Não","Não","Paraná","60 anos ou mais","1/2 até 1 SM","Rural","Homem","Sem instrução",640.328811400713
"Eutrofia","Não","Sim","Paraná","18 a 24 anos","1 até 2 SM","Rural","Homem","Sem instrução",6353.62180203099
"Sobrepeso","Não","Sim","Alagoas","25 a 39 anos","1 até 2 SM","Rural","Homem","Sem instrução",11221.7889672738
"Abaixo do peso","Não","Não","Espírito Santo","25 a 39 anos","1 até 2 SM","Rural","Homem","Sem instrução",14190.8673745708
"Abaixo do peso","Não","Não","Roraima","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",138.539259312263
"Sobrepeso","Sim","Sim","Tocantins","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",693.725426774008
"Eutrofia","Não","Sim","Maranhão","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",8571.81396460625
"Abaixo do peso","Não","Não","Maranhão","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",4137.68676769208
"Abaixo do peso","Não","Não","Piauí","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",2651.9821355013
"Abaixo do peso","Não","Não","Ceará","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",3314.48187123051
"Eutrofia","Não","Sim","Pernambuco","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",5446.01244783406
"Abaixo do peso","Não","Não","Sergipe","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",2997.88487998619
"Abaixo do peso","Não","Não","Bahia","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",2452.19581996051
"Eutrofia","Não","Sim","Paraná","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",2178.32659491641
"Sobrepeso","Sim","Sim","Santa Catarina","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",5043.10261260916
"Sobrepeso","Sim","Sim","Goiás","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",6788.73802312546
"Abaixo do peso","Não","Não","Goiás","40 a 59 anos","1 até 2 SM","Rural","Homem","Sem instrução",4550.5642557895
"Sobrepeso","Sim","Sim","Amazonas","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",412.696116513247
"Sobrepeso","Sim","Sim","Roraima","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",147.058161099592
"Abaixo do peso","Não","Não","Roraima","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",265.313930933132
"Eutrofia","Não","Sim","Pará","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",21580.2835477216
"Eutrofia","Não","Sim","Tocantins","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",8839.11417921827
"Abaixo do peso","Não","Não","Tocantins","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",1660.67565323507
"Obesidade grau I","Sim","Sim","Maranhão","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",2004.43131802949
"Eutrofia","Não","Sim","Maranhão","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",1712.61357925193
"Abaixo do peso","Não","Não","Maranhão","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",36787.9015783343
"Eutrofia","Não","Não","Maranhão","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",1712.61357925193
"Eutrofia","Não","Sim","Piauí","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",7161.00407127067
"Abaixo do peso","Não","Não","Piauí","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",18633.5879429392
"Eutrofia","Não","Sim","Ceará","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",21942.3860293365
"Abaixo do peso","Não","Não","Ceará","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",34586.3687589272
"Eutrofia","Não","Sim","Rio Grande do Norte","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",10892.65471549
"Abaixo do peso","Não","Não","Rio Grande do Norte","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",5306.19236706906
"Abaixo do peso","Não","Não","Paraíba","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",3147.8420800363
"Eutrofia","Não","Sim","Pernambuco","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",4998.30029873617
"Abaixo do peso","Não","Não","Pernambuco","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",32482.5164526399
"Eutrofia","Não","Sim","Alagoas","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",11365.2092044586
"Abaixo do peso","Não","Não","Alagoas","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",4055.66205049711
"Eutrofia","Não","Sim","Sergipe","60 anos ou mais","1 até 2 SM","Rural","Homem","Sem instrução",6807.94692515879
