"IMC_classif","obesid","excpeso","Unidades_da_Federacao","faixa_idade","rend_per_capita","Sit_Urbano_Rural","Sexo","gescol","Freq"
"Abaixo do peso","Não","Não","Piauí","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",5537.31411428441
"Sobrepeso","Sim","Sim","Ceará","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4280.90709207458
"Eutrofia","Não","Sim","Ceará","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2989.91356316173
"Abaixo do peso","Não","Não","Ceará","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4959.41427522477
"Abaixo do peso","Não","Não","Rio Grande do Norte","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1188.27940780643
"Eutrofia","Não","Sim","Paraíba","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4022.38175232002
"Eutrofia","Não","Sim","Pernambuco","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4401.67007322555
"Eutrofia","Não","Sim","Alagoas","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",841.854664285698
"Abaixo do peso","Não","Não","Alagoas","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",834.196597016805
"Abaixo do peso","Não","Não","Espírito Santo","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2078.75740670795
"Eutrofia","Não","Sim","São Paulo","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1467.87455710869
"Abaixo do peso","Não","Não","Santa Catarina","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4089.01372590557
"Eutrofia","Não","Sim","Distrito Federal","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",688.154663783846
"Abaixo do peso","Não","Não","Distrito Federal","30 a 34 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1234.01030405767
"Sobrepeso","Sim","Sim","Rondônia","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3619.12653480276
"Abaixo do peso","Não","Não","Acre","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1913.63891577159
"Obesidade grau I","Sim","Sim","Amazonas","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",946.552548762209
"Eutrofia","Não","Sim","Amazonas","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",8919.3221334617
"Abaixo do peso","Não","Não","Amazonas","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2707.66355228704
"Sobrepeso","Sim","Sim","Roraima","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",203.902693925288
"Obesidade grau III","Sim","Sim","Roraima","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",182.032798307043
"Sobrepeso","Sim","Sim","Pará","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",10832.2271897995
"Eutrofia","Não","Sim","Pará","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",5423.63258018325
"Abaixo do peso","Não","Não","Pará","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",10336.8550120592
"Eutrofia","Não","Sim","Amapá","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",372.367033519247
"Abaixo do peso","Não","Não","Amapá","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",906.352331945833
"Eutrofia","Não","Sim","Tocantins","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1050.73442002973
"Abaixo do peso","Não","Não","Tocantins","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1706.54247372882
"Abaixo do peso","Não","Não","Piauí","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1609.96494295263
"Eutrofia","Não","Sim","Ceará","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",10852.4788907494
"Abaixo do peso","Não","Não","Ceará","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",10195.7487225175
"Eutrofia","Não","Sim","Rio Grande do Norte","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",992.40513024575
"Abaixo do peso","Não","Não","Rio Grande do Norte","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",6584.28590378743
"Eutrofia","Não","Sim","Paraíba","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",6087.07929241977
"Sobrepeso","Não","Sim","Paraíba","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2464.32985014203
"Abaixo do peso","Não","Não","Paraíba","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3737.11920388388
"Eutrofia","Não","Sim","Pernambuco","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",5671.39994528532
"Abaixo do peso","Não","Não","Pernambuco","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4091.08371862725
"Sobrepeso","Sim","Sim","Alagoas","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1961.85179452395
"Eutrofia","Não","Sim","Alagoas","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3171.24090370492
"Abaixo do peso","Não","Não","Alagoas","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4467.15163226637
"Eutrofia","Não","Sim","Sergipe","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3699.17983733005
"Abaixo do peso","Não","Não","Sergipe","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",6286.03595696688
"Sobrepeso","Sim","Sim","Bahia","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",210.200206041989
"Abaixo do peso","Não","Não","Bahia","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",27998.5671705702
"Eutrofia","Não","Sim","Minas Gerais","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2214.91125846163
"Abaixo do peso","Não","Não","Minas Gerais","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1360.60883725616
"Abaixo do peso","Não","Não","Rio de Janeiro","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",846.295983948434
"Eutrofia","Não","Sim","São Paulo","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",9941.8057052493
"Abaixo do peso","Não","Não","São Paulo","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",9581.50200440591
"Eutrofia","Não","Sim","Paraná","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1544.30033512544
"Eutrofia","Não","Sim","Mato Grosso","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1401.12871010762
"Abaixo do peso","Não","Não","Goiás","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1923.75591993779
"Obesidade grau I","Sim","Sim","Distrito Federal","35 a 44 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1161.54614894038
"Eutrofia","Não","Sim","Rondônia","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",668.729236512595
"Abaixo do peso","Não","Não","Rondônia","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",926.085308548227
"Eutrofia","Não","Sim","Acre","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2236.02889574088
"Abaixo do peso","Não","Não","Acre","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",786.326584456709
"Sobrepeso","Sim","Sim","Amazonas","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",973.917369919849
"Eutrofia","Não","Sim","Amazonas","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1134.27971772073
"Abaixo do peso","Não","Não","Amazonas","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1016.60416237059
"Eutrofia","Não","Não","Amazonas","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",481.375310579951
"Sobrepeso","Sim","Sim","Pará","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",10531.9352557338
"Eutrofia","Não","Sim","Pará","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",41043.7490113854
"Abaixo do peso","Não","Não","Pará","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",7332.34186069573
"Obesidade grau I","Sim","Sim","Amapá","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",923.560720544712
"Eutrofia","Não","Sim","Amapá","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1461.40756569434
"Abaixo do peso","Não","Não","Amapá","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",197.237237071846
"Eutrofia","Não","Sim","Tocantins","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2959.35116465504
"Eutrofia","Não","Sim","Maranhão","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",22739.6038332542
"Sobrepeso","Sim","Sim","Piauí","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",557.69422098802
"Eutrofia","Não","Sim","Piauí","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",638.377308679482
"Abaixo do peso","Não","Não","Piauí","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4178.72619872647
"Sobrepeso","Sim","Sim","Ceará","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3115.43359771224
"Eutrofia","Não","Sim","Ceará","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",7100.42285017609
"Abaixo do peso","Não","Não","Ceará","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",5915.6488385172
"Eutrofia","Não","Sim","Rio Grande do Norte","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2907.56117137221
"Abaixo do peso","Não","Não","Rio Grande do Norte","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1399.48545435063
"Eutrofia","Não","Sim","Paraíba","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",9754.96388342173
"Abaixo do peso","Não","Não","Paraíba","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2872.56496080386
"Eutrofia","Não","Sim","Pernambuco","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1776.75152644177
"Abaixo do peso","Não","Não","Pernambuco","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2290.18175902656
"Eutrofia","Não","Sim","Alagoas","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",5190.03280069132
"Abaixo do peso","Não","Não","Alagoas","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",6458.37427999832
"Abaixo do peso","Não","Não","Sergipe","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1910.78023990363
"Obesidade grau I","Sim","Sim","Bahia","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",8248.41070280351
"Eutrofia","Não","Sim","Bahia","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",9786.8987135375
"Abaixo do peso","Não","Não","Bahia","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",8216.61864139556
"Eutrofia","Não","Sim","Minas Gerais","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",213.834081303585
"Abaixo do peso","Não","Não","Minas Gerais","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",12200.1207715292
"Abaixo do peso","Não","Não","Espírito Santo","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",6599.22109638298
"Eutrofia","Não","Sim","Rio de Janeiro","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",6019.0142231317
"Sobrepeso","Sim","Sim","São Paulo","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",7586.28400720573
"Eutrofia","Não","Sim","São Paulo","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2691.25559571004
"Abaixo do peso","Não","Não","São Paulo","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3926.07547439228
"Eutrofia","Não","Sim","Rio Grande do Sul","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4703.30689123378
"Abaixo do peso","Não","Não","Mato Grosso do Sul","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",673.781553599261
"Sobrepeso","Sim","Sim","Goiás","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1110.17334103771
"Abaixo do peso","Não","Não","Goiás","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",439.431786097893
"Abaixo do peso","Não","Não","Distrito Federal","45 a 54 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",316.227321246913
"Abaixo do peso","Não","Não","Rondônia","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2214.99492308072
"Eutrofia","Não","Não","Rondônia","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",309.316112547875
"Obesidade grau I","Sim","Sim","Acre","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",394.345616105224
"Eutrofia","Não","Sim","Acre","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",720.826790523976
"Abaixo do peso","Não","Não","Acre","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",727.097978182767
"Sobrepeso","Sim","Sim","Amazonas","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1982.38677760142
"Eutrofia","Não","Sim","Amazonas","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",943.531608962649
"Abaixo do peso","Não","Não","Amazonas","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3066.98798535154
"Eutrofia","Não","Sim","Roraima","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",218.111341200645
"Abaixo do peso","Não","Não","Roraima","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",227.605416514493
"Sobrepeso","Sim","Sim","Pará","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",860.94846942281
"Abaixo do peso","Não","Não","Pará","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",23346.1099028454
"Abaixo do peso","Não","Não","Amapá","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",612.452650197235
"Eutrofia","Não","Sim","Tocantins","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3378.72029630306
"Abaixo do peso","Não","Não","Tocantins","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",788.020673046001
"Sobrepeso","Sim","Sim","Maranhão","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",10502.8619931103
"Eutrofia","Não","Sim","Maranhão","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4688.44531723876
"Abaixo do peso","Não","Não","Maranhão","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",16443.8786557132
"Eutrofia","Não","Sim","Piauí","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3819.19411733786
"Abaixo do peso","Não","Não","Piauí","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1679.50448373169
"Obesidade grau I","Sim","Sim","Ceará","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",12165.1380772669
"Eutrofia","Não","Sim","Ceará","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4446.59318533827
"Abaixo do peso","Não","Não","Ceará","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",7657.3408411981
"Eutrofia","Não","Não","Ceará","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3291.59402785708
"Sobrepeso","Sim","Sim","Rio Grande do Norte","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",476.245425947214
"Obesidade grau I","Sim","Sim","Rio Grande do Norte","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2464.70246351722
"Eutrofia","Não","Sim","Rio Grande do Norte","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4081.94952563203
"Abaixo do peso","Não","Não","Rio Grande do Norte","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",6261.27818664285
"Eutrofia","Não","Sim","Paraíba","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1874.93141763703
"Abaixo do peso","Não","Não","Paraíba","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",869.01876968306
"Eutrofia","Não","Sim","Pernambuco","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",7363.85581351498
"Abaixo do peso","Não","Não","Pernambuco","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",15687.1120361505
"Eutrofia","Não","Sim","Alagoas","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2153.79771745389
"Abaixo do peso","Não","Não","Alagoas","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",5663.07858073265
"Abaixo do peso","Não","Não","Sergipe","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",721.567362662123
"Eutrofia","Não","Sim","Bahia","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",23529.6192598275
"Abaixo do peso","Não","Não","Bahia","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3205.72241439785
"Sobrepeso","Sim","Sim","Minas Gerais","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",11149.9340888685
"Sobrepeso","Sim","Sim","Rio de Janeiro","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1725.0849138433
"Eutrofia","Não","Sim","Rio de Janeiro","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1407.00516901567
"Abaixo do peso","Não","Não","Rio de Janeiro","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",11442.1785600197
"Sobrepeso","Sim","Sim","São Paulo","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",13616.8166029127
"Abaixo do peso","Não","Não","São Paulo","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3694.55653665446
"Obesidade grau I","Sim","Sim","Paraná","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2034.53356843067
"Eutrofia","Não","Sim","Paraná","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",323.449113163913
"Abaixo do peso","Não","Não","Rio Grande do Sul","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4273.41486844697
"Obesidade grau I","Sim","Sim","Mato Grosso","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2293.18767288581
"Sobrepeso","Sim","Sim","Goiás","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2265.34343974521
"Eutrofia","Não","Sim","Goiás","55 a 64 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1717.68796114212
"Sobrepeso","Sim","Sim","Rondônia","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",300.979912133826
"Sobrepeso","Sim","Sim","Amazonas","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1067.9086655568
"Eutrofia","Não","Sim","Amazonas","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",3614.33676920242
"Eutrofia","Não","Sim","Roraima","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",175.010580027707
"Abaixo do peso","Não","Não","Roraima","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",329.772848835444
"Sobrepeso","Sim","Sim","Pará","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",654.711569514398
"Sobrepeso","Sim","Sim","Amapá","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",393.057042271271
"Eutrofia","Não","Sim","Amapá","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",572.281680534412
"Eutrofia","Não","Sim","Tocantins","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",267.830023195617
"Abaixo do peso","Não","Não","Maranhão","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",11332.2597829372
"Eutrofia","Não","Sim","Piauí","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",4930.17169109027
"Abaixo do peso","Não","Não","Piauí","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1980.95437332119
"Eutrofia","Não","Sim","Ceará","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1645.79701392227
"Abaixo do peso","Não","Não","Ceará","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",11043.6713899897
"Eutrofia","Não","Sim","Rio Grande do Norte","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",2440.90423269464
"Abaixo do peso","Não","Não","Rio Grande do Norte","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",1160.35655065947
"Eutrofia","Não","Sim","Paraíba","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",5700.91065487254
"Abaixo do peso","Não","Não","Paraíba","65 a 74 anos","Até 1/2 SM","Urbano","Masculino","Sem instrução",662.914778692112
